SystemCodeNumber,timestamp,Occupancy,Capacity,occupancy_rate,hour,day_of_week,is_weekend,is_peak_hour,location_type,weather_impact,event_multiplier,price_linear,price_demand,price_time_aware,price_ml_predictive,price_competitive_enhanced,price_multi_objective
BHMBCCMKT01,2016-10-04 07:59:00,61,577,0.10571923743500866,7,1,0,0,city_center,1.0,1.0,10.03,10.67,10.06,10.79,9.29,8.94
BHMBCCMKT01,2016-10-04 08:25:00,64,577,0.11091854419410745,8,1,0,1,city_center,1.2,1.0,10.03,10.69,15.7,10.73,9.31,8.95
BHMBCCMKT01,2016-10-04 08:59:00,80,577,0.1386481802426343,8,1,0,1,city_center,1.0,1.0,10.04,10.91,13.12,10.92,9.39,9.04
BHMBCCMKT01,2016-10-04 09:32:00,107,577,0.1854419410745234,9,1,0,1,city_center,1.0,1.0,10.06,11.06,13.22,11.07,9.52,9.19
BHMBCCMKT01,2016-10-04 09:59:00,150,577,0.25996533795493937,9,1,0,1,city_center,0.8,1.0,10.08,11.02,10.75,11.09,9.69,9.43
BHMBCCMKT01,2016-10-04 10:26:00,177,577,0.30675909878682844,10,1,0,1,city_center,0.8,1.0,10.09,11.57,10.89,11.52,9.81,10.78
BHMBCCMKT01,2016-10-04 10:59:00,219,577,0.37954939341421146,10,1,0,1,city_center,0.8,1.0,10.11,11.94,11.15,11.84,9.99,11.01
BHMBCCMKT01,2016-10-04 11:25:00,247,577,0.42807625649913345,11,1,0,1,city_center,1.2,1.0,10.13,,17.03,11.81,10.1,11.17
BHMBCCMKT01,2016-10-04 11:59:00,259,577,0.4488734835355286,11,1,0,1,city_center,1.0,1.0,10.13,,14.31,11.79,10.16,11.24
BHMBCCMKT01,2016-10-04 12:29:00,266,577,0.4610051993067591,12,1,0,1,city_center,1.0,1.0,10.14,11.66,14.38,11.74,10.18,11.28
BHMBCCMKT01,2016-10-04 13:02:00,269,577,0.4662045060658579,13,1,0,1,city_center,0.8,1.0,10.14,11.81,11.53,11.87,10.19,11.29
BHMBCCMKT01,2016-10-04 13:29:00,263,577,0.4558058925476603,13,1,0,1,city_center,1.2,1.0,10.14,11.77,17.22,11.79,10.17,11.26
BHMBCCMKT01,2016-10-04 14:02:00,238,577,0.4124783362218371,14,1,0,1,city_center,1.2,1.0,10.12,11.37,16.93,11.58,10.08,11.12
BHMBCCMKT01,2016-10-04 14:29:00,215,577,0.37261698440207974,14,1,0,1,city_center,1.0,1.5,10.11,,20.85,11.52,9.99,10.99
BHMBCCMKT01,2016-10-04 14:57:00,192,577,0.3327556325823224,14,1,0,1,city_center,0.8,1.0,10.1,,10.98,11.58,9.9,10.86
BHMBCCMKT01,2016-10-04 15:30:00,165,577,0.28596187175043325,15,1,0,0,city_center,0.8,1.0,10.09,11.37,8.33,11.39,9.79,9.52
BHMBCCMKT01,2016-10-04 16:04:00,162,577,0.2807625649913345,16,1,0,0,city_center,1.0,1.5,10.08,10.96,15.59,11.09,9.76,9.5
BHMBCCMKT01,2016-10-04 16:31:00,143,577,0.24783362218370883,16,1,0,0,city_center,1.0,1.0,10.07,,10.31,11.28,9.68,9.39
BHMBCCMKT01,2016-10-05 07:57:00,54,577,0.09358752166377816,7,2,0,0,city_center,1.0,1.0,10.03,10.64,10.04,10.58,9.29,8.9
BHMBCCMKT01,2016-10-05 08:30:00,59,577,0.1022530329289428,8,2,0,1,city_center,1.0,1.0,10.03,,13.07,10.82,9.32,8.93
BHMBCCMKT01,2016-10-05 09:04:00,71,577,0.12305025996533796,9,2,0,1,city_center,1.0,1.0,10.04,10.86,13.1,10.77,9.39,8.99
BHMBCCMKT01,2016-10-05 09:30:00,83,577,0.1438474870017331,9,2,0,1,city_center,0.8,1.5,10.04,,15.76,11.09,9.47,9.06
BHMBCCMKT01,2016-10-05 10:04:00,114,577,0.1975736568457539,10,2,0,1,city_center,1.0,1.0,10.06,11.23,13.25,11.16,9.62,9.23
